COD_ZONA,TIPO_ESCOLA,QTD
1,Pública,1335.7043651657891
1,Particular,5027.513350223296
2,Pública,630.0392632128287
2,Particular,803.2792524068618
3,Pública,1164.01558627363
3,Particular,1234.5158165078565
4,Pública,220.4110802276517
4,Particular,906.332610827259
5,Pública,239.10612615486252
5,Particular,1487.7463475050617
6,Pública,1150.6854858162446
6,Particular,888.4239656632378
7,Pública,4258.384541445489
7,Particular,2615.0887663772764
8,Pública,2210.4114037075747
8,Particular,1069.8595684855338
9,Pública,2936.1204093484157
9,Particular,3477.064321270536
10,Pública,5357.2126780606
10,Particular,1690.65250708546
11,Pública,586.3980595696464
11,Particular,884.995502170618
12,Pública,1381.4735046065603
12,Particular,546.8659999186032
13,Pública,265.72783303987296
13,Particular,0
14,Pública,1400.5761277127317
14,Particular,558.6588263587381
15,Pública,122.76807799601067
15,Particular,39.50951697792879
16,Pública,3257.4381675578293
16,Particular,162.74266967643644
17,Pública,3486.758884923779
17,Particular,2017.02767667643
18,Pública,2976.912864910353
18,Particular,785.1260281290323
19,Pública,889.8137491089622
19,Particular,3700.3933284884847
20,Pública,2983.247403349624
20,Particular,630.2631286276182
21,Pública,2441.498616838562
21,Particular,1418.758535709673
22,Pública,448.59953879411546
22,Particular,4064.36028992172
23,Pública,128.78543966071425
23,Particular,32946.716711957575
24,Pública,2404.1138208513844
24,Particular,50763.76324306528
25,Pública,1452.6788769239313
25,Particular,2557.5408610198406
26,Pública,2900.276165979605
26,Particular,5663.316311429422
27,Pública,1047.7303142200533
27,Particular,11874.608535098838
28,Pública,0
28,Particular,8922.064040180165
29,Pública,111.2763594090909
29,Particular,4792.760807344776
30,Pública,967.9346205578128
30,Particular,2827.7455307329865
31,Pública,4024.057765398905
31,Particular,33064.242023622995
32,Pública,186.81947233004942
32,Particular,14904.300228436874
33,Pública,0
33,Particular,541.1680183315144
34,Pública,19.47328517021283
34,Particular,5423.200735195336
35,Pública,5413.140822989813
35,Particular,3049.174073357885
36,Pública,2600.4760341227916
36,Particular,8403.620336275884
37,Pública,770.9094503154278
37,Particular,1772.9166778802473
38,Pública,2156.1815090077075
38,Particular,106.81611703061203
39,Pública,1953.4627048345358
39,Particular,1262.619914376754
40,Pública,5663.993691839627
40,Particular,335.4072570533372
41,Pública,3374.521246724602
41,Particular,4349.765259654043
42,Pública,99.74207116769202
42,Particular,285.031593618076
43,Pública,1941.1698407233566
43,Particular,35870.78170049721
44,Pública,1344.7261935962013
44,Particular,2719.012381936585
45,Pública,3518.5151815684517
45,Particular,2184.034684219678
46,Pública,8813.525112342204
46,Particular,868.2473802117647
47,Pública,1339.2641390046147
47,Particular,711.0095450883719
48,Pública,4567.479616973353
48,Particular,1230.1786482739567
49,Pública,1886.498734098133
49,Particular,4295.001789762022
50,Pública,1378.5168254550877
50,Particular,272.75077892274095
51,Pública,1986.8763767612559
51,Particular,600.3938314760362
52,Pública,915.0801770049852
52,Particular,6852.8414135304665
53,Pública,1465.2511910309877
53,Particular,7591.223111696883
54,Pública,1870.2599586479814
54,Particular,2412.401781855017
55,Pública,2846.9867263224255
55,Particular,7767.825804204288
56,Pública,1257.4578176611074
56,Particular,8630.886354661168
57,Pública,1217.9453429265043
57,Particular,3527.0148574271116
58,Pública,2555.879575399671
58,Particular,764.458426098736
59,Pública,1796.86083794808
59,Particular,14072.991011509359
60,Pública,1822.812177694157
60,Particular,2429.25356805418
61,Pública,3671.9780478998996
61,Particular,9775.726074119393
62,Pública,263.5128602868181
62,Particular,388.9723074562524
63,Pública,1040.584145389851
63,Particular,230.27703225653437
64,Pública,1138.079088438879
64,Particular,2851.5944997962215
65,Pública,0
65,Particular,9629.626899278828
66,Pública,2610.4085786506184
66,Particular,970.1388445319961
67,Pública,466.18839448474307
67,Particular,684.9890395565601
68,Pública,2662.673340105773
68,Particular,3549.9006777722943
69,Pública,0
69,Particular,2980.9220696721345
70,Pública,623.51201765523615
70,Particular,9560.346193878215
71,Pública,543.9823463779333
71,Particular,2713.245265567241
72,Pública,3949.171950368727
72,Particular,5666.0545607440945
73,Pública,28.389878367088524
73,Particular,891.1237256952991
74,Pública,0
74,Particular,3249.8130708156177
75,Pública,0
75,Particular,1979.0863783557409
76,Pública,378.69749236363634
76,Particular,839.1431938959599
77,Pública,3875.7637985643705
77,Particular,3025.535283885747
78,Pública,85.80996774193544
78,Particular,370.8137246253308
79,Pública,477.5042418044288
79,Particular,5124.805961647708
80,Pública,1705.4035537796076
80,Particular,1816.6960710472554
81,Pública,189.2893977551019
81,Particular,507.83786912562493
82,Pública,2412.243754347855
82,Particular,10302.852731795467
83,Pública,2842.9972737574753
83,Particular,2662.943781969495
84,Pública,290.2795498519745
84,Particular,9236.63298180049
85,Pública,0
85,Particular,2171.259844980085
86,Pública,103.42585423059549
86,Particular,425.8445458343979
87,Pública,0
87,Particular,2773.9766327818775
88,Pública,2268.6779022837004
88,Particular,3011.529456847141
89,Pública,633.0584657670179
89,Particular,26.831048013423036
90,Pública,335.26743344259995
90,Particular,2410.157851410948
91,Pública,211.72444437447308
91,Particular,18703.400321450856
92,Pública,339.0668156418609
92,Particular,739.3127816733181
93,Pública,1458.9675607387858
93,Particular,55379.01489198689
94,Pública,0
94,Particular,4180.371007676953
95,Pública,437.965236777204
95,Particular,3433.22791769264
96,Pública,200.23489786748186
96,Particular,3564.995946037489
97,Pública,836.1612488806591
97,Particular,802.2289950981409
98,Pública,830.8380716592419
98,Particular,8.395320793103451
99,Pública,671.1424704244706
99,Particular,1118.8906891706624
100,Pública,2058.7731429908763
100,Particular,15314.219517180229
101,Pública,2146.7698203947666
101,Particular,1541.612372832064
102,Pública,2263.8599128295073
102,Particular,872.7641266657015
103,Pública,130.44281525000005
103,Particular,1582.895321989314
104,Pública,2794.369784971119
104,Particular,426.6548173385558
105,Pública,527.2037664763074
105,Particular,5841.975009478531
106,Pública,54.25797775752535
106,Particular,0
107,Pública,1525.2385017408442
107,Particular,7616.11987965374
108,Pública,373.2084606555385
108,Particular,19.7680985
109,Pública,21098.62276303835
109,Particular,2884.6058500266317
110,Pública,3973.8865511582417
110,Particular,6888.74539103679
111,Pública,5309.5491033448225
111,Particular,3011.896733169509
112,Pública,5479.483954690872
112,Particular,90.68412636734693
113,Pública,5530.390149342725
113,Particular,1505.8124013950105
114,Pública,0
114,Particular,0
115,Pública,12587.135550585219
115,Particular,618.204131145255
116,Pública,38751.3830932139
116,Particular,3507.718234436387
117,Pública,9593.959802503172
117,Particular,2615.2704526638677
118,Pública,2431.833861751405
118,Particular,954.9784819804198
119,Pública,20984.683850904483
119,Particular,3461.5008348810984
120,Pública,0
120,Particular,0
121,Pública,13573.150467949134
121,Particular,711.7470276469039
122,Pública,7689.5280643589085
122,Particular,410.17020671284314
123,Pública,11357.559052835453
123,Particular,677.1536287999991
124,Pública,16972.663146443905
124,Particular,3548.4708405924157
125,Pública,11071.145398640992
125,Particular,192.6023231399997
126,Pública,2517.9344694169317
126,Particular,3445.1155491925856
127,Pública,10218.68676235572
127,Particular,2653.2346491226112
128,Pública,1766.3077567367156
128,Particular,1671.5301735715448
129,Pública,2564.6807113173163
129,Particular,1189.219740148511
130,Pública,675.1299180755717
130,Particular,259.14361476190476
131,Pública,1037.5162350026235
131,Particular,3367.11180447861
132,Pública,1473.1921248649433
132,Particular,850.5370914057407
133,Pública,1662.597562087667
133,Particular,6933.438921739003
134,Pública,1347.3264591164666
134,Particular,8232.60595984053
135,Pública,5498.177908282711
135,Particular,3004.767102373573
136,Pública,7362.146040286158
136,Particular,3389.5553405911937
137,Pública,6153.190959951171
137,Particular,1781.5958863202736
138,Pública,762.2584956346153
138,Particular,527.3522373333335
139,Pública,5760.0030027777475
139,Particular,490.09720888717914
140,Pública,9354.084493188104
140,Particular,1799.5914273039791
141,Pública,12915.844378044134
141,Particular,7619.7096639357615
142,Pública,5286.906332635259
142,Particular,1065.3317187611924
143,Pública,0
143,Particular,0
144,Pública,9086.222418507356
144,Particular,2590.3504766318993
145,Pública,662.14208777044
145,Particular,2882.163493637358
146,Pública,0
146,Particular,0
147,Pública,4292.689120273861
147,Particular,332.3432636008926
148,Pública,5473.277713365386
148,Particular,1429.5949214869029
149,Pública,0
149,Particular,0
150,Pública,7453.303482357009
150,Particular,175.0476077143606
151,Pública,14135.98489701008
151,Particular,1065.139444301578
152,Pública,3908.2528986215148
152,Particular,8850.580243672066
153,Pública,3531.5430284746
153,Particular,4686.414120365829
154,Pública,6090.621620660015
154,Particular,3239.8238467158085
155,Pública,3981.5186069380734
155,Particular,0
156,Pública,10734.400460470275
156,Particular,1481.5165043702787
157,Pública,1908.680149225302
157,Particular,2975.1068057724956
158,Pública,6188.247254748201
158,Particular,1880.6711277107697
159,Pública,7665.135425526539
159,Particular,1896.4581371405666
160,Pública,4181.2994050447805
160,Particular,2814.3529195792808
161,Pública,6424.747530424097
161,Particular,0
162,Pública,5089.154770520935
162,Particular,16983.90397577025
163,Pública,2398.433818809832
163,Particular,4110.391282913859
164,Pública,2057.6658554120677
164,Particular,376.973811627907
165,Pública,462.6671767328286
165,Particular,3502.2554960911248
166,Pública,11147.867665139813
166,Particular,11654.789318652132
167,Pública,1974.9148938491287
167,Particular,6743.844961897164
168,Pública,5429.678246067859
168,Particular,1983.5752364342484
169,Pública,3671.21363714611
169,Particular,40668.77225404983
170,Pública,5844.823496540836
170,Particular,7041.795144409712
171,Pública,2828.600388314865
171,Particular,4824.576491637706
172,Pública,5012.738385086451
172,Particular,1517.4378817837728
173,Pública,2501.2403039679775
173,Particular,2494.546579231006
174,Pública,14856.113543866199
174,Particular,0
175,Pública,3565.6522503460374
175,Particular,125.78593835555559
176,Pública,6454.638361603915
176,Particular,2481.144346219332
177,Pública,538.3396500367164
177,Particular,0
178,Pública,2829.4065394042314
178,Particular,124.79868804878028
179,Pública,0
179,Particular,0
180,Pública,10514.739312612035
180,Particular,1076.710089461539
181,Pública,9284.847140094611
181,Particular,3341.2136556015093
182,Pública,7109.778654743725
182,Particular,2416.3427186783447
183,Pública,10635.036527289267
183,Particular,1972.9872654867522
184,Pública,2912.422737593737
184,Particular,0
185,Pública,4677.392376889343
185,Particular,158.98769763636378
186,Pública,2425.7878226155262
186,Particular,0
187,Pública,8886.90606967955
187,Particular,0
188,Pública,6809.129591255268
188,Particular,23224.762256657203
189,Pública,10339.903662339171
189,Particular,2773.674027274541
190,Pública,6506.443381956168
190,Particular,7343.348371570542
191,Pública,2617.4902225127134
191,Particular,412.0298963094866
192,Pública,5612.565269565954
192,Particular,1640.0469087455062
193,Pública,2297.3702345388692
193,Particular,957.1520132064926
194,Pública,7158.926499807471
194,Particular,423.12215422641526
195,Pública,4867.022237967539
195,Particular,1280.569108922907
196,Pública,7536.0018054641805
196,Particular,379.47788479841444
197,Pública,6439.27064955393
197,Particular,2098.4121120788486
198,Pública,8697.084937679007
198,Particular,2536.415607491393
199,Pública,17020.274243156553
199,Particular,5615.469179423301
200,Pública,5687.151835621125
200,Particular,0
201,Pública,19264.33992792749
201,Particular,3862.8918029502265
202,Pública,15058.436484083624
202,Particular,1031.7153841054726
203,Pública,9969.258455817784
203,Particular,562.8112962575688
204,Pública,25582.957261127092
204,Particular,0
205,Pública,19520.318465786753
205,Particular,0
206,Pública,11611.287940803197
206,Particular,4192.309496610672
207,Pública,15746.79974642182
207,Particular,1199.507584183908
208,Pública,3961.75930158285
208,Particular,5795.879551611944
209,Pública,8521.820039593953
209,Particular,1302.6038577088634
210,Pública,6395.734423640126
210,Particular,14003.99415185274
211,Pública,3336.03256544706
211,Particular,1392.9736579186763
212,Pública,7361.0967840779
212,Particular,1589.77428944834
213,Pública,7164.918994826461
213,Particular,3256.8918432298374
214,Pública,8145.751442065093
214,Particular,3962.790145310954
215,Pública,3253.907342659729
215,Particular,4960.3090745996515
216,Pública,7588.100455737681
216,Particular,3457.3715797034747
217,Pública,6656.176377542847
217,Particular,1259.6539951018735
218,Pública,12973.125528044382
218,Particular,1888.05515325587
219,Pública,5001.931762685545
219,Particular,3178.7913804540694
220,Pública,6145.437393493713
220,Particular,1092.6324411024357
221,Pública,9048.072032367374
221,Particular,1078.3261468176074
222,Pública,6815.7556811658105
222,Particular,1957.8048472732883
223,Pública,1450.9408534982697
223,Particular,1920.4312762773102
224,Pública,2264.440733339299
224,Particular,1993.01474038099
225,Pública,6455.047653693806
225,Particular,367.02809514395153
226,Pública,23088.739820860214
226,Particular,3024.9388761574155
227,Pública,10342.118832124068
227,Particular,4756.232298530202
228,Pública,8074.096214619109
228,Particular,0
229,Pública,38735.43048266415
229,Particular,1235.4524181649188
230,Pública,22530.392743234537
230,Particular,972.8547258922501
231,Pública,6105.10305420396
231,Particular,0
232,Pública,11184.195066644366
232,Particular,2346.305777262901
233,Pública,13232.119545030337
233,Particular,0
234,Pública,15195.478049678939
234,Particular,0
235,Pública,8088.840188226001
235,Particular,2019.7947707596493
236,Pública,3933.9665836257946
236,Particular,1504.7197928024493
237,Pública,74.87448896254844
237,Particular,1028.9637009748321
238,Pública,2793.7148097047834
238,Particular,415.16907218181814
239,Pública,7067.249447386274
239,Particular,8951.605473570204
240,Pública,3738.301484432602
240,Particular,858.9759090399677
241,Pública,1875.0872537272317
241,Particular,0
242,Pública,1670.39731718108
242,Particular,0
243,Pública,11804.026353026307
243,Particular,4998.237729841322
244,Pública,3168.715838574123
244,Particular,239.289485
245,Pública,1501.6804732140517
245,Particular,192.686901741865
246,Pública,5102.769580408872
246,Particular,7914.052499269833
247,Pública,13197.33637105387
247,Particular,3912.0270435172206
248,Pública,0
248,Particular,0
249,Pública,1624.0340836874145
249,Particular,3079.7694837981107
250,Pública,1074.3190070484118
250,Particular,2327.324004994547
251,Pública,4675.400898698528
251,Particular,3060.8424553765344
252,Pública,3220.735942730068
252,Particular,611.5364900240266
253,Pública,226.81071728651904
253,Particular,0
254,Pública,5872.315180925911
254,Particular,20953.79662610051
255,Pública,9587.346946439284
255,Particular,3239.9342374231737
256,Pública,4101.814226554416
